Season,No. Overall,No. In season,Title,Directed by,Written by,Original air date,U.S. viewers (millions)
6,80,4,"""Turn""",Christopher Misiano,Daniel Arkin,"August 3, 2016",1.81
6,81,5,"""Trust""",Kate Dennis,Kyle Long,"August 10, 2016",1.51
6,82,6,"""Spain""",Silver Tree,Genevieve Sparling,"August 17, 2016",1.68
6,83,7,"""Shake the Trees""",Anton Cropper,Rick Muirragui & Sandra Silverstein,"August 24, 2016",1.83
6,84,8,"""Borrowed Time""",Gabriel Macht,Sharyn Rothstein,"August 31, 2016",1.88
6,85,9,"""The Hand That Feeds You""",Roger Kumble,Daniel Arkin,"September 7, 2016",1.87
6,86,10,"""P.S.L.""",Kevin Bray,Aaron Korsh & Genevieve Sparling,"September 14, 2016",1.92
6,87,11,"""She's Gone""",Patrick J. Adams,Aaron Korsh & Rick Muirragui,"January 25, 2017",1.37
6,88,12,"""The Painting""",Gregor Jordan,Sharyn Rothstein & Sandra Silverstein,"February 1, 2017",1.53
6,89,13,"""Teeth, Nose, Teeth""",Silver Tree,Kyle Long,"February 8, 2017",1.28
6,90,14,"""Admission of Guilt""",Michael Smith,Ethan Drogin,"February 15, 2017",1.21
6,91,15,"""Quid Pro Quo""",Maurice Marable,Aaron Korsh & Daniel Arkin,"February 22, 2017",1.25
6,92,16,"""Character and Fitness""",Roger Kumble,Genevieve Sparling,"March 1, 2017",1.13
7,93,1,"""Skin in the Game""",Silver Tree,Aaron Korsh,"July 12, 2017",1.4
7,94,2,"""The Statue""",Michael Smith,Genevieve Sparling,"July 19, 2017",1.36
7,95,3,"""Mudmare""",Maurice Marable,Sharyn Rothstein,"July 26, 2017",1.41
7,96,4,"""Divide and Conquer""",Anton Cropper,Daniel Arkin,"August 2, 2017",1.41
7,97,5,"""Brooklyn Housing""",Roger Kumble,Marshall Knight & Rob LaMorgese,"August 9, 2017",1.29
7,98,6,"""Home to Roost""",Valerie Weiss,Sandra Silverstein,"August 16, 2017",1.47
7,99,7,"""Full Disclosure""",Cherie Nowlan,Ethan Drogin,"August 23, 2017",1.35
7,100,8,"""100""",Patrick J. Adams,Rick Muirragui,"August 30, 2017",1.51
7,101,9,"""Shame""",Silver Tree,Sharyn Rothstein,"September 6, 2017",1.64
7,102,10,"""Donna""",Michael Smith,Genevieve Sparling,"September 13, 2017",1.68
7,103,11,"""Hard Truths""",Christopher Misiano,Ethan Drogin,"March 28, 2018",1.18
7,104,12,"""Bad Man""",Roger Kumble,Rick Muirragui,"April 4, 2018",1.06
